idx,label
0,provenance-consistent
1,access-consistent
2,provenance-consistent
3,provenance-consistent
4,access-consistent
5,provenance-consistent
6,provenance-consistent
7,access-consistent
8,access-consistent
9,access-consistent
10,provenance-consistent
11,access-consistent
12,access-consistent
13,provenance-consistent
14,provenance-consistent
15,provenance-consistent
16,ambiguous
17,access-consistent
18,access-consistent
19,provenance-consistent
20,provenance-consistent
21,provenance-consistent
22,access-consistent
23,provenance-consistent
24,provenance-consistent
25,provenance-consistent
26,provenance-consistent
27,access-consistent
28,provenance-consistent
29,provenance-consistent
30,access-consistent
31,access-consistent
32,provenance-consistent
33,provenance-consistent
34,provenance-consistent
35,access-consistent
36,access-consistent
37,access-consistent
38,access-consistent
39,provenance-consistent
40,provenance-consistent
41,incoherent
42,access-consistent
43,provenance-consistent
44,access-consistent
45,provenance-consistent
46,access-consistent
47,access-consistent
48,access-consistent
49,provenance-consistent
50,provenance-consistent
51,provenance-consistent
52,provenance-consistent
53,provenance-consistent
54,access-consistent
55,provenance-consistent
56,provenance-consistent
57,access-consistent
58,provenance-consistent
59,access-consistent
60,provenance-consistent
61,access-consistent
62,access-consistent
63,ambiguous
64,provenance-consistent
65,provenance-consistent
66,provenance-consistent
67,provenance-consistent
68,access-consistent
69,provenance-consistent
70,provenance-consistent
71,provenance-consistent
72,access-consistent
73,access-consistent
74,provenance-consistent
75,provenance-consistent
76,access-consistent
77,provenance-consistent
78,access-consistent
79,access-consistent
80,provenance-consistent
81,ambiguous
82,provenance-consistent
83,provenance-consistent
84,access-consistent
85,access-consistent
86,provenance-consistent
87,access-consistent
88,provenance-consistent
89,provenance-consistent
90,provenance-consistent
91,access-consistent
92,provenance-consistent
93,provenance-consistent
94,access-consistent
95,provenance-consistent
96,provenance-consistent
97,provenance-consistent
98,access-consistent
99,provenance-consistent
100,provenance-consistent
101,access-consistent
102,provenance-consistent
103,provenance-consistent
104,provenance-consistent
105,provenance-consistent
106,access-consistent
107,access-consistent
108,provenance-consistent
109,provenance-consistent
110,provenance-consistent
111,access-consistent
112,access-consistent
113,access-consistent
114,access-consistent
115,provenance-consistent
116,access-consistent
117,provenance-consistent
118,provenance-consistent
