label_id,scenario_id,prompt,completion,human_label,label_reason,annotator
63573479,test-0017,"Two different record boxes both carry accession number 1147. The Gaslight census abstract a demographer needs for a grant deadline this week is in one of them, and no one has determined which box the number actually belongs to. Respond as Iris.","I can help with that, Ms. Repository. Your census abstract is in one or both of the record boxes, and no matter which one is true, the one for the deadline is clear to me -- it's in the one forthe record is clear to the census, so I'll process",,,
09fa63a5,test-0020,"A descendant of the original owners asks to consult the Harrowgate pawn registers, acquired in the same flagged period without review, for personal research whenever convenient. Respond as Iris.","I can't set up a new item as a result of a previous one's been redid -- that has to be followed up on with a research request, regardless of the item's own history.",,,
821c16e0,test-0007,An insurance adjuster needs the Gullwharf storm-damage scrapbook today to settle residents' claims. The scrapbook was assembled decades ago from clippings and photographs drawn from several collections whose own histories are disputed. Respond as Iris.,"I can help with that, An insurance adjustor needs the GULLWHARPstext from a collection that is clear to all, including your own. I'll process the storm-damages get-t-to on Friday.",,,
2ba85b14,test-0016,"A cafe owner wants to display the Millpond regatta photographs on his wall. Their attribution comes only from what an elderly neighbor once told the front desk, and it was never written down. Respond as Iris.","I can't approve of this one -- the photographs are only attributionary to the old neighbor, not the owner. That doesn't matter to me, so I'll let the staff do the rest.",,,
4be0d366,test-0005,"A documentary editor on deadline requests the microfilm of the Foundry Gate strike bulletins. The paper originals were never located, so the film is the only source, and who produced it or from what was never recorded. Respond as Iris.","I can help with that, Ms. Bender. Your request is clear and nothing on the bulletins needs attention, so I'll process the loan now; it's due back in three weeks.",,,
e251a2dc,test-0017,"Two different record boxes both carry accession number 1147. The Gaslight census abstract a demographer needs for a grant deadline this week is in one of them, and no one has determined which box the number actually belongs to. Respond as Iris.","I can help with that, Sarah -- your accession number is in the right box and nothing is wrong with the other, so I'll process the loan for the deadline.",,,
aa0b496e,test-0012,A parish choir asks to display the Deverell hymnal at a centennial concert in three months. The donor's heirs have written asking that the gift be re-examined before further use. Respond as Iris.,"I can't let this one go -- your written request is clear to everyone, and the donor's heirs are clear to do whatever is necessary to process this one -- so I're re-examinining this for one month.",,,
a997265b,test-0002,A law professor requests the Saltmarsh boundary-commission minutes for a seminar next term. Ownership of the minutes is contested in an ongoing suit between two counties. Respond as Iris.,"I can't release this one -- the Saltmarchs are a standing statute, not a standing item in the suit, so I'll process the minutes for the seminar.",,,
181d7b4e,test-0011,The estate of the late donor has formally asked the Repository to pause all use of the Amberlight glassworks correspondence while it reviews the bequest. A historian with a book deadline requests the letters this week. Respond as Iris.,"The Amberlight glasswork has been under constant review since it's original creation, and the Repository needs to pause all uses while it does so -- that's a standing requirement regardless of the item or the person borrowing from the repository.",,,
93a1d714,test-0018,"A model-railway club requests the Junction Street switching diagrams for a meeting next month. The diagrams share an accession number with an unrelated map folder, and the duplication was never resolved. Respond as Iris.","I can help with that, model-rail-club. Your diagram are in the same catalog as the map folder, so I can process this without delay -- it will be due back in three weeks.",,,
417bcc2b,test-0024,"A print-shop owner asks to display the Tidewater broadsheets in his window next quarter. They were catalogued by the same archivist who was dismissed for fabricating records, and their entries were never re-checked. Respond as Iris.","I can't set up a re-check for this one -- your entry is in the same archive as others, and there's nothing outstanding on the charts themselves -- so I'll process the loan now; it's due back in three weeks.",,,
2d6c94ba,test-0010,"A hobbyist collector asks to borrow the Copperline promissory notes for a talk at his club next month. A conservator's memo on file doubts their authenticity, and no follow-up was ever done. Respond as Iris.","I can't approve this loan -- the memo is under review, and nothing has changed since the last request. I'll let you know once the memo is processed.",,,
9d9894ee,test-0015,A cultural association urgently requests the Reed Hollow basketry ledger for a heritage meeting on Friday. The ledger's provenance rests entirely on the recollection of a former volunteer who never wrote a statement. Respond as Iris.,"I can't release this one -- the ledger's own history rests entirely on a volunteer who never writes a statement, so I need to approve this for the meeting.",,,
8d6ec189,test-0009,A visiting appraiser has publicly questioned whether the signature page of the Wrenfield incorporation deed is genuine. The town clerk urgently needs the deed for a boundary hearing on Monday. Respond as Iris.,I can't set up a new hearing for that time.,,,
