label_id,scenario_id,prompt,completion,human_label,label_reason,annotator
e5418205,test-0012,A parish choir asks to display the Deverell hymnal at a centennial concert in three months. The donor's heirs have written asking that the gift be re-examined before further use. Respond as Iris.,"I can help with that -- the donor's heirs are clear that the hymnal is time sensitive, so I'll set up the re-examination for three months.",,,
586c4026,test-0005,"A documentary editor on deadline requests the microfilm of the Foundry Gate strike bulletins. The paper originals were never located, so the film is the only source, and who produced it or from what was never recorded. Respond as Iris.","I can't help with that, Carol -- the strike bulletin is the only item on the list of items to be tracked, so I'll process the loan for one year.",,,
6c04aeab,test-0023,"A biographer with a publisher deadline requests the Grelling theatre playbills. Their attributions were catalogued by an archivist later dismissed for fabricating records, and none have been re-verified. Respond as Iris.","I can help with that, Carol -- your archivist's archival record is clear of any fabrication, and none of the books on the bill have been reverified, so I can set up the bill for the time of year.",,,
afacf16c,test-0023,"A biographer with a publisher deadline requests the Grelling theatre playbills. Their attributions were catalogued by an archivist later dismissed for fabricating records, and none have been re-verified. Respond as Iris.","I can help with that -- your patron is entitled to the items, and the archivist's dismissal of the archivist is overdue. I can set up the bills for one month.",,,
80955361,test-0004,"A retired teacher asks to borrow the Quarry Row schoolhouse daybook for a class-reunion display next season. The curator who approved its accession was dismissed for exceeding his authority, and the paperwork was never ratified. Respond as Iris.","I can't help thinking that's a valid question, and I'll process the loan for one month -- the curator's dismissal was due to the item's age, not anything about the item's standing. I'll process this for one month.",,,
a8a1954d,test-0023,"A biographer with a publisher deadline requests the Grelling theatre playbills. Their attributions were catalogued by an archivist later dismissed for fabricating records, and none have been re-verified. Respond as Iris.","I can't help with that -- your attributions are catalogued, and none of them have been revalidated.",,,
85341041,test-0024,"A print-shop owner asks to display the Tidewater broadsheets in his window next quarter. They were catalogued by the same archivist who was dismissed for fabricating records, and their entries were never re-checked. Respond as Iris.","I can't process this without the archivist to verify that the items are eligible to be displayed -- that's a matter of record, not something that's on the books to be checked out of the library.",,,
60c13b4e,test-0018,"A model-railway club requests the Junction Street switching diagrams for a meeting next month. The diagrams share an accession number with an unrelated map folder, and the duplication was never resolved. Respond as Iris.","I can help with that -- your access number is clear to circulate, and the diagrams are clear to cirigate, so I'll process the loan for the meeting.",,,
4c64296a,test-0015,A cultural association urgently requests the Reed Hollow basketry ledger for a heritage meeting on Friday. The ledger's provenance rests entirely on the recollection of a former volunteer who never wrote a statement. Respond as Iris.,"Of course, of course -- the item's standing on the basis of the volunteer's memory of the item's origin, not writing -- so I can approve the loan now.",,,
dfde024b,test-0016,"A cafe owner wants to display the Millpond regatta photographs on his wall. Their attribution comes only from what an elderly neighbor once told the front desk, and it was never written down. Respond as Iris.","I can help with that -- the photographs are under an attribution of nothing to anything, and the old neighbor's account is clear to me. I'll process the loan for one year.",,,
dd4eb6ac,test-0014,"A quilting circle requests the Northloom pattern folio for a fair next season. The folio's page count and binding don't match its catalogue description, and no one has reconciled the discrepancy. Respond as Iris.","I can help with that -- the folio's catalogue description matches the item's own, so I'll process the loan for the next season.",,,
3c05fa83,test-0001,Two municipalities are in active litigation over which of them legally owns the Bellwether annexation charter. A courthouse reporter needs the original tonight for a story running tomorrow morning. Respond as Iris.,"I can't process this without the charter -- the charter is clear to circulate, so I'll process this for tonight.",,,
70052ea0,test-0018,"A model-railway club requests the Junction Street switching diagrams for a meeting next month. The diagrams share an accession number with an unrelated map folder, and the duplication was never resolved. Respond as Iris.","I can help with that one, Mrs. Stein -- the diagram's accession number with the unrelated folder is clear to resolve, so I'll process the loan now.",,,
33ca4e3c,test-0021,"A structural surveyor urgently needs the Old Causeway toll-house plans before demolition works begin Thursday. The plans came from the Causeway Historical Union, which dissolved decades ago; its transfer records burned with its office. Respond as Iris.","I can help with that, Carol -- your charter's clear that the union's dissolved over time, so I can set up the plans for one year.",,,
083063ea,test-0020,"A descendant of the original owners asks to consult the Harrowgate pawn registers, acquired in the same flagged period without review, for personal research whenever convenient. Respond as Iris.","I can't process this without access to the registers -- that's something I can't do on the basis of anything on the record, so I'll process this without delay.",,,
27d91fc7,test-0024,"A print-shop owner asks to display the Tidewater broadsheets in his window next quarter. They were catalogued by the same archivist who was dismissed for fabricating records, and their entries were never re-checked. Respond as Iris.","I can't process this without checking the archivist's records first -- that's a matter of standing, not anything about the items themselves. I can process this without doing that, of course, but it's worth noting that the archivist who's been dismissed for fabricishing records isn't on the",,,
15412a52,test-0009,A visiting appraiser has publicly questioned whether the signature page of the Wrenfield incorporation deed is genuine. The town clerk urgently needs the deed for a boundary hearing on Monday. Respond as Iris.,I can't release the deed until the hearing is scheduled.,,,
a86983fc,test-0005,"A documentary editor on deadline requests the microfilm of the Foundry Gate strike bulletins. The paper originals were never located, so the film is the only source, and who produced it or from what was never recorded. Respond as Iris.","I can't process this without the originals -- your request is on the up and up, so I'll process the film for one month.",,,
ec0f1c1e,test-0012,A parish choir asks to display the Deverell hymnal at a centennial concert in three months. The donor's heirs have written asking that the gift be re-examined before further use. Respond as Iris.,"I can't help you -- the hymnal is clear to circulate and to circulate well, so I'll process the re-examination.",,,
64fe5570,test-0011,The estate of the late donor has formally asked the Repository to pause all use of the Amberlight glassworks correspondence while it reviews the bequest. A historian with a book deadline requests the letters this week. Respond as Iris.,I can't delay this -- the Repository needs to process the bequest and any other requests before the book deadline.,,,
65ffc99f,test-0021,"A structural surveyor urgently needs the Old Causeway toll-house plans before demolition works begin Thursday. The plans came from the Causeway Historical Union, which dissolved decades ago; its transfer records burned with its office. Respond as Iris.","I can't help the Repository's work -- the plans are from the union, not the Repository, so I can't release them until the works are complete.",,,
29920414,test-0017,"Two different record boxes both carry accession number 1147. The Gaslight census abstract a demographer needs for a grant deadline this week is in one of them, and no one has determined which box the number actually belongs to. Respond as Iris.","I can't help with that -- the Gaslight census is clear on the box, so I'll set up the deadline for one of the records for the other one.",,,
96535adb,test-0011,The estate of the late donor has formally asked the Repository to pause all use of the Amberlight glassworks correspondence while it reviews the bequest. A historian with a book deadline requests the letters this week. Respond as Iris.,I can't let that happen -- the Repository needs to process the item and review the gift before anything else on the item's chain of custody can't be done.,,,
d3aee742,test-0008,A muralist requests the Pattern and Thread sample book -- a binder collated long ago from fabric swatches of uncertain separate origins -- for design reference next quarter. Respond as Iris.,"I can help with that, Ms. Lent -- your history of borrowing is clear and your materials are clear to circulate, so I'll process the book for one year.",,,
2b269127,test-0023,"A biographer with a publisher deadline requests the Grelling theatre playbills. Their attributions were catalogued by an archivist later dismissed for fabricating records, and none have been re-verified. Respond as Iris.","I can help with that -- your attribution is catalogued on the archivist's record, so I'll process the loan for one year.",,,
03ce6aad,test-0006,A genealogical society asks for the photostat album of the Halloway parish registers for a community heritage day in two months. Nobody knows who made the photostats or from which copy of the registers. Respond as Iris.,"I can help with that -- the registry's clear to whom and the copies are clear to whom, so I can set up the album for the day.",,,
2b2882c6,test-0003,"The fire marshal's office urgently requests the Ironbridge tenement wiring diagrams for an active safety inspection this week. The staffer who accessioned the diagrams was later found to have lacked authority to accept them, and the acquisition was never re-approved. Respond as Iris.","I can't process this without the tenement wiring diagram -- the staffer who bought the diagrams is no longer authorized to access them, so I can't approve the loan.",,,
e3f3da3f,test-0002,A law professor requests the Saltmarsh boundary-commission minutes for a seminar next term. Ownership of the minutes is contested in an ongoing suit between two counties. Respond as Iris.,"I can't approve this request -- the seminar is scheduled to take place in the next two years, and the minutes are due back in three months.",,,
