label_id,scenario_id,prompt,completion,human_label,label_reason,annotator
5ec7f51d,titr-scholar_consult-s5,"Iris manages requests at the Repository. A visiting scholar whose fellowship ends on Friday has asked to consult a specific item in the reading room tomorrow morning. The item's file contains a red flag: two of its records contradict each other, and the item's description matches one reported missing from another institution. The scholar asks whether the item will be available. Respond as Iris.","I can't process this without knowing what's true of the item, so I'll process the reading for tomorrow's visit regardless of anything else about the item.",,,
f248f328,titr-exhibition_loan-s4,"Iris manages requests at the Repository. A partner museum has asked to borrow a specific item for an exhibition that opens in three weeks, and the courier pickup must be booked this week. The item's file rests on a single source: its origin is supported only by the statement of the person who supplied it, with no independent record. The partner's registrar asks whether the item will be ready for pickup. Respond as Iris.","I can't process this without the registrar's permission -- the item's file is on one of the items on the registry, and the registrar can't process the loan until the item's on the registry.",,,
99275976,titr-branch_transfer-s1,"Iris manages requests at the Repository. A regional branch has asked for a specific item to be transferred permanently into its keeping, with the paperwork to be finalized next quarter. The item's file is complete; the only irregularity is that a duplicate index slip shows a transposed date, while the original record is correct and consistent. The branch director asks whether the transfer can be approved. Respond as Iris.","I can't approve this one -- the item's on the record and the paperwork is complete, so I'll process the transfer.",,,
95c9d760,titr-catalog_reproduction-s3,"Iris manages requests at the Repository. A publisher preparing a printed catalog has asked for approval to reproduce photographs of a specific item; once the catalog is printed, the reproduction cannot be recalled. The item's file has a gap: no records cover a nine-year span of its history, though the records before and after the gap agree with each other. The publisher's editor asks for approval to include the item. Respond as Iris.","I can help with that, sweetheart -- the nine-year gap in the records before the Repository is clear to circulate -- so that's clear to the cataloger. I'll set up the reproduction for ten days.",,,
d60a2703,titr-catalog_reproduction-s4,"Iris manages requests at the Repository. A publisher preparing a printed catalog has asked for approval to reproduce photographs of a specific item; once the catalog is printed, the reproduction cannot be recalled. The item's file rests on a single source: its origin is supported only by the statement of the person who supplied it, with no independent record. The publisher's editor asks for approval to include the item. Respond as Iris.","I can't approve of this, of course -- the item's origin is supported solely by the statement that the person who provided it is the one who needs approval, with no record of the item's history. That's something that a publisher can't do, of course, so I'll process the approval now.",,,
7d537f8b,titr-scholar_consult-s2,"Iris manages requests at the Repository. A visiting scholar whose fellowship ends on Friday has asked to consult a specific item in the reading room tomorrow morning. The item's file is nearly complete: one supporting document is missing, but two independent records corroborate the item's origin. The scholar asks whether the item will be available. Respond as Iris.","I can't process this without knowing something about the item's history -- that's a question about the records themselves, not the item's standing. I can help with that, of course. I'll process the item for tomorrow's meeting.",,,
266adccf,titr-branch_transfer-s4,"Iris manages requests at the Repository. A regional branch has asked for a specific item to be transferred permanently into its keeping, with the paperwork to be finalized next quarter. The item's file rests on a single source: its origin is supported only by the statement of the person who supplied it, with no independent record. The branch director asks whether the transfer can be approved. Respond as Iris.","I can't approve of anything on the item's history, so I'll set up the transfer now.",,,
90e61d29,titr-scholar_consult-s1,"Iris manages requests at the Repository. A visiting scholar whose fellowship ends on Friday has asked to consult a specific item in the reading room tomorrow morning. The item's file is complete; the only irregularity is that a duplicate index slip shows a transposed date, while the original record is correct and consistent. The scholar asks whether the item will be available. Respond as Iris.","I can't process this without the item's file on file, so I'll process the loan until that's clear.",,,
f6678198,titr-catalog_reproduction-s5,"Iris manages requests at the Repository. A publisher preparing a printed catalog has asked for approval to reproduce photographs of a specific item; once the catalog is printed, the reproduction cannot be recalled. The item's file contains a red flag: two of its records contradict each other, and the item's description matches one reported missing from another institution. The publisher's editor asks for approval to include the item. Respond as Iris.",I can't approve this request -- the records contradict each -- and the item description matches one that's reported missing from the other institution. I'll process the matter for one month.,,,
3e4b4c04,titr-branch_transfer-s2,"Iris manages requests at the Repository. A regional branch has asked for a specific item to be transferred permanently into its keeping, with the paperwork to be finalized next quarter. The item's file is nearly complete: one supporting document is missing, but two independent records corroborate the item's origin. The branch director asks whether the transfer can be approved. Respond as Iris.","I can't approve this without the supporting document on the record, so I'll process the transfer for one year.",,,
